stage,category,callee,callsites,statepoints,leaf_callsites,gc_live_operands,gc_relocate_intrinsics,relocates_attributed,relocates_unattributed
post-opt,LLVM,llvm.assume,1,0,0,0,0,0,0
post-opt,LLVM,llvm.ceil.f64,80,0,0,0,0,0,0
post-opt,LLVM,llvm.copysign.f64,4,0,0,0,0,0,0
post-opt,LLVM,llvm.cos.f64,2,0,0,0,0,0,0
post-opt,LLVM,llvm.exp.f64,3,0,0,0,0,0,0
post-opt,LLVM,llvm.experimental.gc.relocate.p1,12696867,0,0,0,12696867,0,0
post-opt,LLVM,llvm.experimental.gc.result.f64,674496,0,0,0,0,0,0
post-opt,LLVM,llvm.experimental.gc.result.i32,40778,0,0,0,0,0,0
post-opt,LLVM,llvm.experimental.gc.result.i64,641250,0,0,0,0,0,0
post-opt,LLVM,llvm.experimental.gc.result.p0,19500,0,0,0,0,0,0
post-opt,LLVM,llvm.fabs.f64,14814,0,0,0,0,0,0
post-opt,LLVM,llvm.fabs.v2f64,4,0,0,0,0,0,0
post-opt,LLVM,llvm.fabs.v4f64,4,0,0,0,0,0,0
post-opt,LLVM,llvm.floor.f64,401,0,0,0,0,0,0
post-opt,LLVM,llvm.floor.v2f64,2,0,0,0,0,0,0
post-opt,LLVM,llvm.fshl.i32,2,0,0,0,0,0,0
post-opt,LLVM,llvm.lifetime.end.p0,14,0,0,0,0,0,0
post-opt,LLVM,llvm.lifetime.start.p0,14,0,0,0,0,0,0
post-opt,LLVM,llvm.log.f64,10,0,0,0,0,0,0
post-opt,LLVM,llvm.log10.f64,2,0,0,0,0,0,0
post-opt,LLVM,llvm.log2.f64,1,0,0,0,0,0,0
post-opt,LLVM,llvm.masked.scatter.v8f64.v8p0,10,0,0,0,0,0,0
post-opt,LLVM,llvm.memset.p0.i64,899,0,0,0,0,0,0
post-opt,LLVM,llvm.sin.f64,6,0,0,0,0,0,0
post-opt,LLVM,llvm.smin.i64,1026,0,0,0,0,0,0
post-opt,LLVM,llvm.smin.v2i64,149,0,0,0,0,0,0
post-opt,LLVM,llvm.smin.v4i64,2,0,0,0,0,0,0
post-opt,LLVM,llvm.sqrt.f64,7,0,0,0,0,0,0
post-opt,LLVM,llvm.umin.i64,2,0,0,0,0,0,0
post-opt,LLVM,llvm.usub.sat.i64,2,0,0,0,0,0,0
post-opt,dynamic-dispatch,<indirect>,395,395,0,2094,0,2443,0
post-opt,dynamic-dispatch,js_closure_call0,26359,26237,0,70783,0,75811,0
post-opt,dynamic-dispatch,js_closure_call1,11177,11099,0,40980,0,44972,0
post-opt,dynamic-dispatch,js_closure_call10,2,2,0,32,0,32,0
post-opt,dynamic-dispatch,js_closure_call11,3,3,0,37,0,37,0
post-opt,dynamic-dispatch,js_closure_call12,2,2,0,4,0,4,0
post-opt,dynamic-dispatch,js_closure_call14,1,1,0,3,0,3,0
post-opt,dynamic-dispatch,js_closure_call1_receiverless,17205,16889,0,73817,0,83290,0
post-opt,dynamic-dispatch,js_closure_call2,10231,10226,0,30846,0,33947,0
post-opt,dynamic-dispatch,js_closure_call3,2596,2556,0,12698,0,13596,0
post-opt,dynamic-dispatch,js_closure_call4,935,935,0,4419,0,4806,0
post-opt,dynamic-dispatch,js_closure_call5,220,220,0,879,0,1076,0
post-opt,dynamic-dispatch,js_closure_call6,84,84,0,414,0,435,0
post-opt,dynamic-dispatch,js_closure_call7,34,34,0,528,0,537,0
post-opt,dynamic-dispatch,js_closure_call8,22,21,0,97,0,99,0
post-opt,dynamic-dispatch,js_closure_call9,13,12,0,143,0,158,0
post-opt,dynamic-dispatch,js_closure_call_apply_with_spread,95,95,0,609,0,642,0
post-opt,dynamic-dispatch,js_closure_call_array,1,1,0,3,0,3,0
post-opt,dynamic-dispatch,js_native_call_method,42322,41530,0,229976,0,254533,0
post-opt,dynamic-dispatch,js_native_call_method_apply_by_id,190,186,0,309,0,355,0
post-opt,dynamic-dispatch,js_native_call_method_by_id,3933,3933,0,9692,0,12377,0
post-opt,dynamic-dispatch,js_native_call_method_nullsafe,28,28,0,47,0,51,0
post-opt,dynamic-dispatch,js_native_call_method_str_key,3,3,0,6,0,9,0
