phase,caller_body,entries,true,false,same_address_as_previous_at_site,entry_share_percent,negative_percent
1,perry_runtime::object::native_call_method::primitive_methods::dispatch_primitive,174149,208,173941,83102,86.83440287604773,99.88056204744213
1,perry_runtime::symbol::get::heap_ptr_and_type_from_value_bits,10955,0,10955,6940,5.462396473750081,100.0
1,perry_runtime::typed_feedback::normalize_raw_object_addr,3305,130,3175,3044,1.6479434363983585,96.06656580937972
1,js_object_get_field_by_name,2385,0,2385,1699,1.1892118292920075,100.0
1,perry_runtime::closure::dynamic_props::is_closure_ptr,1728,96,1632,1582,0.8616176272606244,94.44444444444444
1,js_native_call_method,885,522,363,549,0.4412798611838267,41.016949152542374
1,js_object_get_field_ic_miss,657,114,543,361,0.32759420203138323,82.64840182648402
1,perry_runtime::native_handle::canonical::is_canonical_handle_addr,609,190,419,343,0.30366037905192145,68.80131362889983
1,perry_runtime::object::keys_lookup::keys_find_slot_by_key_ptr,516,0,516,402,0.25728859702921425,100.0
1,js_object_set_field_by_name,513,24,489,331,0.2557927330929979,95.32163742690058
1,<perry_runtime::gc::copying::CopyingNurseryCollector>::visit_slot_with_parent,441,441,0,194,0.21989199862380518,0.0
1,perry_runtime::gc::verify::remember_evacuated_old_to_young_slot,417,417,0,189,0.2079250871340743,0.0
1,perry_runtime::object::object_ops::extract_obj_ptr,381,81,300,306,0.18997471989947795,78.74015748031496
1,perry_runtime::native_handle::canonical::canonical_handle_value_with_policy,303,303,0,3,0.15108225755785254,0.0
1,js_is_symbol,285,12,273,242,0.14210707394055436,95.78947368421052
1,perry_runtime::object::native_call_method::handle_methods::dispatch_handle,257,136,121,190,0.128145677202535,47.08171206225681
1,perry_runtime::object::field_get_set::get_field_by_name_tail::get_field_by_name_object_tail,248,0,248,181,0.12365808539388591,100.0
1,perry_runtime::map::is_registered_map,209,0,209,149,0.1042118542230732,100.0
1,perry_runtime::set::is_registered_set,209,0,209,149,0.1042118542230732,100.0
1,js_object_get_class_id,180,0,180,123,0.0897518361729817,100.0
1,perry_runtime::object::class_handles::composite_handle_method_dispatch,136,136,0,106,0.0678124984418084,0.0
1,perry_runtime::object::interned_key_ptr,131,0,131,123,0.0653193918814478,100.0
1,perry_runtime::proxy::raw_ptr_from_value,127,12,115,70,0.06332490663315932,90.55118110236221
1,perry_runtime::closure::dynamic_props::scan_closure_owner,126,126,0,2,0.0628262853210872,0.0
1,js_for_of_next,122,0,122,73,0.06083180007279871,100.0
1,js_closure_call2,108,0,108,100,0.053851101703789025,100.0
1,js_native_call_value,108,0,108,103,0.053851101703789025,100.0
1,js_closure_call1,100,0,100,97,0.04986213120721206,100.0
1,perry_runtime::proxy::reflect_value_is_object,98,24,74,90,0.04886488858306782,75.51020408163265
1,perry_runtime::array::generic::classify_pointer,84,0,84,72,0.04188419021405813,100.0
1,perry_runtime::object::prototype_chain::object_set_static_prototype_impl,69,0,69,0,0.03440487053297632,100.0
1,js_array_length,66,0,66,65,0.03290900659675996,100.0
1,js_closure_call1_receiverless,62,0,62,13,0.030914521348471478,100.0
1,perry_runtime::object::native_module::class_id_from_method_receiver,60,60,0,30,0.029917278724327236,0.0
1,js_array_is_array,59,0,59,3,0.029418657412255116,100.0
1,js_closure_call0,53,0,53,28,0.02642692953982239,100.0
1,perry_runtime::timer::arg_to_timer_id,49,49,0,0,0.02443244429153391,0.0
1,perry_runtime::proxy::prototype_of_for_set,44,12,32,40,0.021939337731173306,72.72727272727273
1,perry_runtime::object::global_this::fetch_globals::global_this_fetch_option,39,0,39,36,0.019446231170812702,100.0
1,perry_runtime::object::descriptor_state::note_descriptor_target,38,0,38,22,0.018947609858740583,100.0
1,perry_runtime::array::iterator::is_builtin_iterator_class_id,31,0,31,14,0.015457260674235739,100.0
1,js_object_get_symbol_property,24,0,24,12,0.011966911489730895,100.0
1,perry_runtime::object::class_registry::parent_static::is_registered_class_prototype_object,19,0,19,14,0.009473804929370291,100.0
1,perry_runtime::closure::dispatch::direct::resolve_direct_func_ptr,15,0,15,0,0.007479319681081809,100.0
1,perry_runtime::array::iter_methods::resolve_callback_ptr,12,0,12,0,0.0059834557448654475,100.0
1,perry_runtime::object::class_handles::canonical_event_emitter_handle_probe,12,0,12,3,0.0059834557448654475,100.0
1,perry_runtime::object::class_handles::canonical_handle_prototype_dispatch,12,12,0,9,0.0059834557448654475,0.0
1,perry_runtime::object::class_handles::composite_handle_property_dispatch,12,12,0,3,0.0059834557448654475,0.0
1,perry_runtime::object::class_handles::composite_handle_property_set_dispatch,12,12,0,9,0.0059834557448654475,0.0
1,perry_runtime::text::is_known_text_decoder_id,12,12,0,3,0.0059834557448654475,0.0
1,perry_runtime::text::text_handle_property,12,12,0,3,0.0059834557448654475,0.0
1,js_canonical_handle_id_from_addr,9,9,0,6,0.004487591808649085,0.0
1,perry_runtime::closure::registry::closure_is_arrow,8,0,8,5,0.003988970496576965,100.0
1,perry_runtime::value::addr_class::try_read_tracked_gc_header,6,6,0,3,0.0029917278724327237,0.0
1,js_array_join,5,0,5,2,0.002493106560360603,100.0
1,js_array_map,5,0,5,0,0.002493106560360603,100.0
1,perry_runtime::json::stringify::ptr_is_tracked_heap_object,4,0,4,3,0.0019944852482884825,100.0
1,js_array_filter,3,0,3,0,0.0014958639362163619,100.0
1,perry_runtime::json::stringify::is_symbol_value,3,0,3,2,0.0014958639362163619,100.0
1,perry_runtime::native_handle::canonical::canonical_handle_parts_from_addr,3,0,3,0,0.0014958639362163619,100.0
1,perry_runtime::object::global_fetch::headers_init_json_ptr,3,0,3,0,0.0014958639362163619,100.0
1,perry_runtime::text::is_text_encoder_handle,3,3,0,0,0.0014958639362163619,0.0
1,js_object_set_prototype_of,2,0,2,0,0.0009972426241442412,100.0
1,js_value_is_promise,2,0,2,1,0.0009972426241442412,100.0
1,perry_runtime::json::stringify::is_closure_value,2,0,2,1,0.0009972426241442412,100.0
1,perry_runtime::set::is_string_like,2,0,2,0,0.0009972426241442412,100.0
1,js_array_includes_jsvalue,1,0,1,0,0.0004986213120721206,100.0
1,js_array_slice,1,0,1,0,0.0004986213120721206,100.0
1,perry_runtime::child_process::value_util::cp_value_to_string,1,0,1,0,0.0004986213120721206,100.0
1,perry_runtime::closure::registry::closure_is_bound_method,1,0,1,0,0.0004986213120721206,100.0
1,perry_runtime::json::raw_json::raw_json_text_bytes,1,0,1,0,0.0004986213120721206,100.0
1,perry_runtime::json::replacer::apply_to_json_keyed,1,0,1,0,0.0004986213120721206,100.0
1,perry_runtime::json::stringify::stringify_value,1,0,1,0,0.0004986213120721206,100.0
1,perry_runtime::object::class_registry::function_prototype::is_plain_async_function_value,1,0,1,0,0.0004986213120721206,100.0
1,perry_runtime::object::global_this::generator::closure_generator_kind,1,0,1,0,0.0004986213120721206,100.0
3,js_object_get_field_by_name,10133074,504,10132570,4686706,20.443676388145853,99.99502618849917
3,perry_runtime::closure::dynamic_props::is_closure_ptr,7002050,315,7001735,5089648,14.126773795752076,99.99550131747131
3,perry_runtime::object::object_ops::extract_obj_ptr,6664009,138,6663871,978138,13.444769419792204,99.9979291744654
3,perry_runtime::typed_feedback::normalize_raw_object_addr,4192338,507,4191831,2296173,8.458124492303778,99.98790650944652
3,perry_runtime::gc::trace::classifier_valid_object_start,3028217,21161,3007056,64146,6.109487444884136,99.30120595716886
3,perry_runtime::object::iterator_prototypes::prototype_next_is_canonical,2768524,0,2768524,2761007,5.585551702160185,100.0
3,perry_runtime::native_handle::canonical::is_canonical_handle_addr,1941076,1743,1939333,817871,3.9161590637546513,99.91020444330876
3,js_native_call_value,1673057,0,1673057,1568481,3.375425452031845,100.0
3,js_closure_call0,1614096,0,1614096,1545103,3.256470473165465,100.0
