row,offset,entries,true,false,call_binding
1,952,462959,3,462956,relative-GOT-call-to-counted-helper
1,1138,404886,0,404886,relative-GOT-call-to-counted-helper
1,2224,441857,3,441854,relative-GOT-call-to-counted-helper
1,2396,441857,3,441854,relative-GOT-call-to-counted-helper
1,3376,441857,3,441854,relative-GOT-call-to-counted-helper
1,4547,441857,3,441854,relative-GOT-call-to-counted-helper
1,4995,441857,3,441854,relative-GOT-call-to-counted-helper
1,5537,441857,3,441854,relative-GOT-call-to-counted-helper
1,8277,439509,3,439506,relative-GOT-call-to-counted-helper
2,952,345059,3,345056,relative-GOT-call-to-counted-helper
2,1138,363433,0,363433,relative-GOT-call-to-counted-helper
2,2224,325421,3,325418,relative-GOT-call-to-counted-helper
2,2396,325421,3,325418,relative-GOT-call-to-counted-helper
2,3376,325421,3,325418,relative-GOT-call-to-counted-helper
2,4547,325421,3,325418,relative-GOT-call-to-counted-helper
2,4995,325421,3,325418,relative-GOT-call-to-counted-helper
2,5537,325421,3,325418,relative-GOT-call-to-counted-helper
2,8277,323365,3,323362,relative-GOT-call-to-counted-helper
3,952,378040,57,377983,relative-GOT-call-to-counted-helper
3,1138,312758,0,312758,relative-GOT-call-to-counted-helper
3,2224,357361,57,357304,relative-GOT-call-to-counted-helper
3,2396,357361,57,357304,relative-GOT-call-to-counted-helper
3,3376,357361,57,357304,relative-GOT-call-to-counted-helper
3,4547,357361,57,357304,relative-GOT-call-to-counted-helper
3,4995,357361,57,357304,relative-GOT-call-to-counted-helper
3,5537,357361,57,357304,relative-GOT-call-to-counted-helper
3,8277,355231,57,355174,relative-GOT-call-to-counted-helper
