phase,symbol,linked_ip,symbol_offset,instruction,samples,period,phase_percent,focus_region
command,js_native_call_method,0x11858230,0,push %rbp,2,9418305,0.04977721582893313,
command,js_native_call_method,0x11858236,6,push %r14,1,5267752,0.027840893689182307,
command,js_native_call_method,0x1185823d,13,"sub $0x138,%rsp",1,5269075,0.027847885951223266,
command,js_native_call_method,0x1185824a,26,"mov %rsi,%r8",2,10277262,0.05431693799515868,
command,js_native_call_method,0x1185825f,47,"test %rdi,%rdi",1,5251416,0.027754555372703764,
command,js_native_call_method,0x11858266,54,"mov %r8,-0x50(%rbp)",1,5220793,0.02759270802540195,
command,js_native_call_method,0x1185826a,58,"mov %rdi,-0x58(%rbp)",2,10547505,0.05574521454144364,
command,js_native_call_method,0x11858274,68,"test %r12,%r12",1,5237250,0.02767968584581621,
command,js_native_call_method,0x11858294,100,"mov %rbx,%rax",1,5237442,0.027680700595862973,
command,js_native_call_method,0x118582b3,131,"movabs $0x7ffd000000000000,%rcx",3,15166164,0.08015555014676164,
command,js_native_call_method,0x118582bd,141,"cmp %rcx,%rax",1,5237802,0.02768260325220065,
command,js_native_call_method,0x118582d6,166,jne 1185844d <js_native_call_method+0x21d>,1,5249843,0.027746241821539418,
command,js_native_call_method,0x11858312,226,jne 1185844d <js_native_call_method+0x21d>,1,5044937,0.026663281545073178,
command,js_native_call_method,0x11858323,243,"movabs $0x5845474552595250,%rax",1,5307925,0.028053214280997472,
command,js_native_call_method,0x11858331,257,jne 1185844d <js_native_call_method+0x21d>,1,5236830,0.027677466080088923,
command,js_native_call_method,0x11858343,275,"mov $0x1,%edi",1,4655327,0.024604131723623284,
command,js_native_call_method,0x11858374,324,je 1185844d <js_native_call_method+0x21d>,1,5265370,0.027828304446414685,
command,js_native_call_method,0x118583bb,395,"cmpb $0x0,-0xa8(%rbp)",1,4152244,0.02194525933938141,
command,js_native_call_method,0x118583c2,402,jne 1185844d <js_native_call_method+0x21d>,2,10301110,0.05444297840721673,
command,js_native_call_method,0x118583cd,413,"mov -0x58(%rbp),%rsi",6,31133096,0.16454328448854597,
