phase,symbol,samples,period,phase_percent
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,178,927579405,4.902402315613943
command,js_native_call_method,115,594107551,3.139951381031502
command,js_regexp_test,77,396571512,2.0959425018015816
command,perry_runtime::regex::js_regexp_new_impl,76,386437521,2.0423827734624096
command,__memmove_avx512_unaligned_erms,70,366227817,1.9355713251341964
command,js_object_get_field_by_name,58,303473666,1.603905816479671
command,perry_runtime::exception::try_push_with_kind,60,302355127,1.597994162820538
command,<unicode_segmentation::grapheme::GraphemeCursor>::next_boundary,58,292991128,1.5485039627001433
command,perry_runtime::buffer::header::is_registered_buffer_slow,50,256886049,1.3576829699733544
command,<regex::regex::string::Regex>::find_at,50,253912370,1.3419666110967872
command,<perry_runtime::arena::walk::ArenaObjectCursor>::next_budgeted,44,228224416,1.2062017542078134
command,perry_runtime::closure::dynamic_props::is_closure_ptr,44,224186231,1.1848593145329291
command,perry_runtime::object::regex_proto_thunks::regexp_prototype_test_is_canonical,45,222636823,1.1766704507805794
command,js_object_get_own_field_or_undef,42,220430458,1.1650094664736999
command,perry_runtime::object::shapes::scan_shape_table_rekey_mut,40,207104549,1.0945799519899662
command,__memcmp_evex_movbe,40,206920289,1.0936061090544655
command,perry_runtime::gc::layout_tables::layout_forget_object,38,194634936,1.0286760958710286
command,js_array_get_f64,37,194244736,1.0266138278072474
command,perry_runtime::object::descriptor_state::get_accessor_descriptor,36,186666962,0.9865641063445344
command,js_object_get_field,36,184058530,0.9727781350217649
command,perry_fn_cli_2_1_112_js__u_N_24_6,34,177072592,0.9358563594375653
command,js_native_call_value,34,173561452,0.9172994350668213
command,perry_runtime::buffer::header::is_registered_buffer,32,167917891,0.8874723320009564
command,perry_runtime::object::class_meta_registry::get_parent_class_id,32,162663686,0.8597030363267922
command,<perry_runtime::gc::copying_pointer_set::CopyingPointerSet>::classify_arena,31,160578006,0.8486798911313362
command,<perry_runtime::gc::copying::CopyingNurseryCollector>::mark_addr,31,159145978,0.8411113990481986
command,js_object_get_field_ic,30,156717334,0.8282756354410906
