arm,row,order,startup_cpu_s,command_cpu_s,startup_plus_command_cpu_s,command_wall_s,peak_rss_mib,before_load1,after_load1,run_sha256
node,1,1,0.64,0.43999999999999995,1.08,0.876821731,337.71484375,2.1904296875,2.0947265625,82aea65e77b4a97e7c583a7cf210e37aa3cf8b11190b3f63de1ef751501ced00
control,1,2,1.19,1.2400000000000002,2.43,1.738019201,631.12109375,2.0947265625,1.92578125,0b23523ff7e8da74b2ab73c68416f6b070ec4ed7337255563d14c536fdc006d2
candidate,1,3,1.01,1.2400000000000002,2.25,1.709403966,632.70703125,1.92578125,1.8515625,b910b394d7fd16c7dac266a2f1ddd5b9259e90ed8985281ace459a2d6b830e99
candidate,2,4,0.95,1.19,2.1399999999999997,1.706078057,632.07421875,1.8515625,1.783203125,e33a970fad82f7864b7e08f63ec9cce9e9c53b4e585dd2ae9845d90785476d72
node,2,5,0.63,0.42999999999999994,1.06,0.869816949,337.69140625,1.783203125,1.80078125,8c717b700a2e86b1daa48e794f7b60b29ce81f4ef2b8628ca2b4c41e8a21c2fe
control,2,6,0.97,1.2700000000000005,2.24,1.752133732,629.796875,1.80078125,1.81689453125,6c1abbaa1d8e7f747e06445b5deeff8f1e232541672931ff2d9022f388568158
control,3,7,0.97,1.27,2.24,1.764816887,647.19140625,1.81689453125,1.771484375,4d85073638b28b5acce1cc53d13d463b402093cab874c8a659474a86a17cb2af
candidate,3,8,0.96,1.0899999999999994,2.0499999999999994,1.563462894,632.265625,1.771484375,1.70947265625,f87a24eb0290169d919df95e2fe8065ef9ec1852b5e959302fadd6a2d0f8fe93
node,3,9,0.63,0.41999999999999993,1.0499999999999998,0.869376844,334.39453125,1.70947265625,1.65234375,5b2af92183f6c17e2c3e9e334df5af98b46ce23b334306d9c4c1853262e6eb4d
candidate,4,10,0.95,1.1600000000000001,2.1100000000000003,1.599796296,656.83984375,1.65234375,1.60009765625,84696cdaf59d160b4cf513d2e5efa8c3d97564695bf311990f980dcd99e77557
control,4,11,0.95,1.1999999999999997,2.1499999999999995,1.693512273,632.90625,1.60009765625,1.43359375,5d767d5925c2cb727e3ce7593eadce00efb8317fa99808d7e2864406f558a8c0
control,5,12,0.99,1.1799999999999997,2.17,1.662084594,632.140625,1.43359375,1.3984375,564a35295749402074b09db6a1750741e19dbb58005c77f980384538658cda05
candidate,5,13,0.95,1.1199999999999997,2.0699999999999994,1.587541356,634.51171875,1.3984375,1.3662109375,292ab707aae7981ef88132b699db2974e427379bca6a4a2a809464af1cd7defa
