arm,row,order,startup_cpu_s,command_cpu_s,startup_plus_command_cpu_s,command_wall_s,peak_rss_mib,before_load1,after_load1,run_sha256
node,1,1,0.63,0.41999999999999993,1.0499999999999998,0.87151537,332.28515625,1.5830078125,1.5361328125,c765c93369db53b8d992080d7cd81d49e03a00aad87640e7e5c4116b0af272b1
control,1,2,1.03,1.2799999999999998,2.3099999999999996,1.739819553,629.57421875,1.5361328125,1.4931640625,84c14ef38de8ea4ca77bfa01691bfb3dc5a155210724d876b73075b7f8b6809b
candidate,1,3,0.95,1.2500000000000004,2.2,1.724405128,625.30078125,1.4931640625,1.4169921875,fc421690517a74ea6b429f27bd88975806807d713dbd890c8430f1173a887b5f
candidate,2,4,0.97,1.2200000000000002,2.1900000000000004,1.677991663,634.2578125,1.4169921875,1.38330078125,2e26ccdfa9815c23a55a0f25d8a08b758773ccefc86ca1bf16c3f3d91b0c7a7f
node,2,5,0.62,0.43999999999999995,1.06,0.876204071,337.96484375,1.38330078125,1.2724609375,ffcedb70b04f00394b9618891c472cf376f9135095c81b2acbeaaaf43486d919
control,2,6,0.99,1.4500000000000002,2.4400000000000004,1.824322203,633.75390625,1.2724609375,1.17041015625,2ba621d77db7d3d352a8264af7810408b69770c0fce87ad44c74e0532d744204
control,3,7,0.98,1.2199999999999998,2.1999999999999997,1.693167024,646.37109375,1.17041015625,1.224609375,70a4bf02c7d6208f7529ba191d0edff0f9243fa58a2e7823c4a882af5657f37d
candidate,3,8,0.98,1.2000000000000002,2.18,1.660989217,635.12890625,1.224609375,1.20654296875,7e9c08271dad574fac9f39876e5f1abc6018c23d5c5b8049306302c8bf222159
node,3,9,0.63,0.41999999999999993,1.0499999999999998,0.871005201,332.796875,1.20654296875,1.10986328125,dc2cd1dbc1a4de80782621770fca03760c7f1c11ddb5d4015ac122aa5fecf8ae
candidate,4,10,0.98,1.2200000000000006,2.2000000000000006,1.686998799,637.48046875,1.10986328125,1.18115234375,f89fd397b8c78e06dfefa6a91773cada7966cdb57046e7711dfb440839fa1e18
control,4,11,0.98,1.25,2.23,1.718827173,649.92578125,1.18115234375,1.07275390625,380db965b1101057459827cf48e31824b6f593d378d5e6a60f37b1f330ac9e56
control,5,12,0.97,1.2199999999999998,2.1899999999999995,1.718921126,638.375,1.07275390625,1.06689453125,41bfd4c4fd23a25b5a8ee7a8a754f5672ab332e197b83b5630b394d2f1af2a4c
candidate,5,13,0.96,1.19,2.15,1.660463052,635.38671875,1.06689453125,1.0615234375,fa2dc03d86c09cd6e9b79931d4820199ecaa8fc68fbce4f7ccf930f0d87685bb
