# runtime_symbol	result_kind	provider_source	provider_return
backOff	NR_GCPTR	crates/perry-ext-exponential-backoff/src/lib.rs	*mut Promise
js_argon2_hash	NR_GCPTR	crates/perry-ext-argon2/src/lib.rs	*mut Promise
js_argon2_verify	NR_GCPTR	crates/perry-ext-argon2/src/lib.rs	*mut Promise
js_async_hook_disable	NR_FOREIGN_PTR	crates/perry-runtime/src/async_hooks.rs	i64
js_async_hook_enable	NR_FOREIGN_PTR	crates/perry-runtime/src/async_hooks.rs	i64
js_async_hooks_create_hook	NR_FOREIGN_PTR	crates/perry-runtime/src/async_hooks.rs	i64
js_async_resource_bind	NR_NULLABLE_GCPTR	crates/perry-runtime/src/async_hooks.rs	i64
js_async_resource_emit_destroy	NR_FOREIGN_PTR	crates/perry-runtime/src/async_hooks.rs	i64
js_bcrypt_compare	NR_GCPTR	crates/perry-ext-bcrypt/src/lib.rs	*mut Promise
js_bcrypt_hash	NR_GCPTR	crates/perry-ext-bcrypt/src/lib.rs	*mut Promise
js_buffer_copy_bytes_from	NR_GCPTR	crates/perry-runtime/src/buffer/copy_bytes.rs	*mut BufferHeader
js_buffer_transcode	NR_GCPTR	crates/perry-runtime/src/buffer/transcode.rs	*mut BufferHeader
js_bun_build	NR_GCPTR	crates/perry-ext-typescript/src/bun.rs	*mut Promise
js_bun_serve	NR_GCPTR	crates/perry-ext-http/src/server/bun_server.rs	i64
js_bun_sqlite_database_call	NR_GCPTR	crates/perry-stdlib/src/sqlite/bun.rs	Handle
js_bun_sqlite_database_query	NR_GCPTR	crates/perry-stdlib/src/sqlite/bun.rs	Handle
js_bun_sqlite_database_run	NR_GCPTR	crates/perry-stdlib/src/sqlite/bun.rs	*mut ObjectHeader
js_bun_sqlite_database_transaction	NR_GCPTR	crates/perry-stdlib/src/sqlite/bun.rs	*mut ClosureHeader
js_bun_sqlite_statement_values	NR_GCPTR	crates/perry-stdlib/src/sqlite/bun.rs	*mut ArrayHeader
js_bun_tcp_listen	NR_GCPTR	crates/perry-ext-net/src/bun_tcp.rs	i64
js_bun_transpiler_new	NR_GCPTR	crates/perry-ext-typescript/src/bun.rs	Handle
js_cheerio_load	NR_GCPTR	crates/perry-ext-cheerio/src/lib.rs	Handle
js_cheerio_select	NR_GCPTR	crates/perry-ext-cheerio/src/lib.rs	Handle
js_cheerio_selection_children	NR_GCPTR	crates/perry-ext-cheerio/src/lib.rs	Handle
js_cheerio_selection_eq	NR_GCPTR	crates/perry-ext-cheerio/src/lib.rs	Handle
js_cheerio_selection_find	NR_GCPTR	crates/perry-ext-cheerio/src/lib.rs	Handle
js_cheerio_selection_first	NR_GCPTR	crates/perry-ext-cheerio/src/lib.rs	Handle
js_cheerio_selection_last	NR_GCPTR	crates/perry-ext-cheerio/src/lib.rs	Handle
js_cheerio_selection_parent	NR_GCPTR	crates/perry-ext-cheerio/src/lib.rs	Handle
js_commander_action	NR_GCPTR	crates/perry-ext-commander/src/lib.rs	Handle
js_commander_args_array	NR_GCPTR	crates/perry-ext-commander/src/lib.rs	Handle
js_commander_argument	NR_GCPTR	crates/perry-ext-commander/src/lib.rs	Handle
js_commander_command	NR_GCPTR	crates/perry-ext-commander/src/lib.rs	Handle
js_commander_description	NR_GCPTR	crates/perry-ext-commander/src/lib.rs	Handle
js_commander_name	NR_GCPTR	crates/perry-ext-commander/src/lib.rs	Handle
js_commander_option	NR_GCPTR	crates/perry-ext-commander/src/lib.rs	Handle
js_commander_opts	NR_GCPTR	crates/perry-ext-commander/src/lib.rs	Handle
js_commander_parse	NR_GCPTR	crates/perry-ext-commander/src/lib.rs	Handle
js_commander_required_option	NR_GCPTR	crates/perry-ext-commander/src/lib.rs	Handle
js_commander_version	NR_GCPTR	crates/perry-ext-commander/src/lib.rs	Handle
js_cron_schedule	NR_GCPTR	crates/perry-ext-cron/src/lib.rs	Handle
js_decimal_abs	NR_GCPTR	crates/perry-ext-decimal/src/lib.rs	Handle
js_decimal_ceil	NR_GCPTR	crates/perry-ext-decimal/src/lib.rs	Handle
js_decimal_div_value	NR_GCPTR	crates/perry-stdlib/src/decimal.rs	Handle
js_decimal_floor	NR_GCPTR	crates/perry-ext-decimal/src/lib.rs	Handle
js_decimal_minus_value	NR_GCPTR	crates/perry-stdlib/src/decimal.rs	Handle
js_decimal_mod_value	NR_GCPTR	crates/perry-stdlib/src/decimal.rs	Handle
js_decimal_neg	NR_GCPTR	crates/perry-ext-decimal/src/lib.rs	Handle
js_decimal_plus_value	NR_GCPTR	crates/perry-stdlib/src/decimal.rs	Handle
js_decimal_pow	NR_GCPTR	crates/perry-ext-decimal/src/lib.rs	Handle
js_decimal_round	NR_GCPTR	crates/perry-ext-decimal/src/lib.rs	Handle
js_decimal_sqrt	NR_GCPTR	crates/perry-ext-decimal/src/lib.rs	Handle
js_decimal_times_value	NR_GCPTR	crates/perry-stdlib/src/decimal.rs	Handle
js_domain_add	NR_GCPTR	crates/perry-stdlib/src/domain.rs	Handle
js_domain_create	NR_GCPTR	crates/perry-stdlib/src/domain.rs	Handle
js_domain_on	NR_GCPTR	crates/perry-stdlib/src/domain.rs	Handle
js_domain_remove	NR_GCPTR	crates/perry-stdlib/src/domain.rs	Handle
js_ethers_wallet_create_random	NR_JS_VALUE	crates/perry-ext-ethers/src/lib.rs	JsValue
js_event_emitter_event_names	NR_GCPTR	crates/perry-ext-events/src/lib.rs	*mut ArrayHeader
js_event_emitter_listeners	NR_GCPTR	crates/perry-ext-events/src/lib.rs	*mut ArrayHeader
js_event_emitter_new	NR_GCPTR	crates/perry-ext-events/src/lib.rs	Handle
js_event_emitter_on	NR_GCPTR	crates/perry-ext-events/src/lib.rs	Handle
js_event_emitter_once	NR_GCPTR	crates/perry-ext-events/src/lib.rs	Handle
js_event_emitter_prepend_listener	NR_GCPTR	crates/perry-ext-events/src/lib.rs	Handle
js_event_emitter_prepend_once_listener	NR_GCPTR	crates/perry-ext-events/src/lib.rs	Handle
js_event_emitter_raw_listeners	NR_GCPTR	crates/perry-ext-events/src/lib.rs	*mut ArrayHeader
js_event_emitter_remove_all_listeners	NR_GCPTR	crates/perry-ext-events/src/lib.rs	Handle
js_event_emitter_remove_listener	NR_GCPTR	crates/perry-ext-events/src/lib.rs	Handle
js_event_emitter_set_max_listeners	NR_GCPTR	crates/perry-ext-events/src/lib.rs	Handle
js_events_add_abort_listener	NR_GCPTR	crates/perry-ext-events/src/module_on.rs	i64
js_events_get_event_listeners	NR_GCPTR	crates/perry-ext-events/src/module_helpers.rs	*mut ArrayHeader
js_events_on	NR_GCPTR	crates/perry-ext-events/src/module_on.rs	*mut ArrayHeader
js_events_once	NR_GCPTR	crates/perry-ext-events/src/lib.rs	*mut Promise
js_ext_net_create_server	NR_GCPTR	crates/perry-ext-net/src/lib.rs	i64
js_ext_net_socket_connect	NR_GCPTR	crates/perry-ext-net/src/lib.rs	i64
js_ext_net_socket_once	NR_GCPTR	crates/perry-ext-net/src/handle_exports.rs	i64
